Insectendoosnaam,soortnaam,aantal,volgnr
Insectendoos 01-01,Carabus anatolicus,8,1880
Insectendoos 01-01,Carabus albrechti okumurai,4,1881
Insectendoos 01-01,Carabus awashimae,2,1882
Insectendoos 01-01,Carabus rumelicus,1,1883
Insectendoos 01-01,Carabus morio,5,1884
Insectendoos 01-01,Carabus irmasanus,2,1885
Insectendoos 01-01,Carabus torosus,1,1886
Insectendoos 01-01,Paussus favieri,2,1887
Insectendoos 01-01,Cychrus angustatus,2,1888
Insectendoos 01-01,Cychrus cylindricollis,1,1889
Insectendoos 01-01,Cychrus caraboides,8,1890
Insectendoos 01-01,Cychrus attenuatus,8,1891
Insectendoos 01-01,Cychrus italicus,6,1892
Insectendoos 01-01,Cychrus schmidti,1,1893
Insectendoos 01-02,Leistus spinibarbis,9,1829
Insectendoos 01-02,Leistus rufomarginatus,10,1830
Insectendoos 01-02,Leistus fulvibarbis,4,1831
Insectendoos 01-02,Leistus ferrugineus,10,1832
Insectendoos 01-02,Leistus terminatus,10,1833
Insectendoos 01-02,Leistus montanus,2,1834
Insectendoos 01-02,Erynebria complanata,5,1835
Insectendoos 01-02,Nebria livida,10,1836
Insectendoos 01-02,Nebria picicornis,8,1837
Insectendoos 01-02,Nebria psammodes,8,1838
Insectendoos 01-02,Nebria jockischi,3,1839
Insectendoos 01-02,Nebria rufescens,10,1840
Insectendoos 01-02,Nebria brevicollis,8,1841
Insectendoos 01-02,Nebria salina,8,1842
Insectendoos 01-02,Nebria lafresnayei,10,1843
Insectendoos 01-02,Nebria rubripes,1,1844
Insectendoos 01-02,Nebria laticollis,1,1845
Insectendoos 01-02,Nebria pictiventris,3,1846
Insectendoos 01-02,Nebria hemprichi,5,1847
Insectendoos 01-02,Nebria germari,2,1848
Insectendoos 01-02,Nebria hellwigi,1,1849
Insectendoos 01-02,Nebria hybrida,1,1850
Insectendoos 01-02,Nebria dahli,2,1851
Insectendoos 01-02,Nebria castanea,10,1852
Insectendoos 01-02,Nebria testacea,2,1853
Insectendoos 01-02,Nebria aetolica,2,1854
Insectendoos 01-02,Nebria diaphana,10,1855
Insectendoos 01-02,Notiophilus aquaticus,11,1856
Insectendoos 01-02,Notiophilus palustris,10,1857
Insectendoos 01-02,Notiophilus germinyi,1,1859
Insectendoos 01-02,Notiophilus laticollis,3,1860
Insectendoos 01-02,Notiophilus substriatus,2,1861
Insectendoos 01-02,Notiophilus biguttatus,1,1862
Insectendoos 01-02,Omophron variegatum,1,1863
Insectendoos 01-02,Omophron limbatum,10,1864
Insectendoos 01-02,Blethisa multipunctata,8,1865
Insectendoos 01-02,Elephrus pyrenoeus,12,1866
Insectendoos 01-02,Elephrus cupreus,8,1867
Insectendoos 01-02,Elephrus ruparius,8,1868
Insectendoos 01-02,Elephrus aureus,10,1869
Insectendoos 01-02,Elephrus ullrichi,1,1870
Insectendoos 01-02,Loricera pilicornis,8,1871
Insectendoos 01-02,Scarites terricola,8,1872
Insectendoos 01-02,Scarites laevigatus,8,1873
Insectendoos 01-02,Scarites planus,2,1874
Insectendoos 01-02,Scarites buparius,2,1875
Insectendoos 01-02,Scarites eurytus,1,1876
Insectendoos 01-02,Scarites occidentalis,2,1877
Insectendoos 01-02,Scarites subcylindricus,2,1878
Insectendoos 01-02,Clivina fossor,4,1879
Insectendoos 01-02,Clivina collaris,9,1880
Insectendoos 01-02,Clivina ypsilon,8,1881
Insectendoos 01-02,Clivina laevifrons,1,1882
Insectendoos 01-03,Dyschirius thoracicus,9,13
Insectendoos 01-03,Dyschirius obscurus,8,14
Insectendoos 01-03,Dyschirius nitidus,2,15
Insectendoos 01-03,Dyschirius politus,6,16
Insectendoos 01-03,Dyschirius salinus,11,17
Insectendoos 01-03,Dyschirius aeneus,2,18
Insectendoos 01-03,Dyschirius leudersi,2,19
Insectendoos 01-03,Dyschirius intermedius,1,20
Insectendoos 01-03,Dyschirius laeviusculus,5,21
Insectendoos 01-03,Dyschirius substriatus,1,22
Insectendoos 01-03,Dyschirius cylindricus,4,23
Insectendoos 01-03,Dyschirius agnatus,12,24
Insectendoos 01-03,Dyschirius luticola,2,25
Insectendoos 01-03,Dyschirius morio,1,26
Insectendoos 01-03,Dyschirius globosus,7,27
Insectendoos 01-03,Dyschirius numidicus,10,28
Insectendoos 01-03,Dyschirius chalybaeus,3,29
Insectendoos 01-03,Broscosoma relictum,2,30
Insectendoos 01-03,Broscus cephalotus,6,31
Insectendoos 01-03,Broscus nobilis,10,32
Insectendoos 01-03,Perileptus areolatus,12,33
Insectendoos 01-03,Aepus marinus,2,34
Insectendoos 01-03,Trechus secalis,1,35
Insectendoos 01-03,Trechus quadristriatus,4,36
Insectendoos 01-03,Trechus obtusus,3,37
Insectendoos 01-03,Trechus alpicola,1,38
Insectendoos 01-03,Trechus cardioderus,1,39
Insectendoos 01-03,Trechus pulchellus,1,40
Insectendoos 01-03,Trechus glacialis,4,41
